branch_number,branch_name,branch_address,branch_city,branch_post_code
B01,"phrommarat road branch","304 310 phrommarat Rd, Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B02,"suriyard road branch","251 18 suriyard Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B03,"ubparat road branch","177, Ubparat, Road, Nai Muang, Mueng Ubon Ratchathani District","Ubon Ratchathani",34000
B04,"chayangkun road branch","420 Chayangkun Rd, Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B05,"chayangkun road branch","130 Chayangkun Rd, Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B06,"chaeramae road branch","31 7 Chaeramae, Amphoe Mueang Ubon Ratchathani","Ubon Ratchathani",34000
B07,"chaeramae road branch","Chaeramae, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B08,"chayankun road branch","512/8 Chayangkun Rd, Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B09,"chayankun road branch","325 31 Chayangkun Rd, Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B10,"suriyard road branch","251 18 Nai Mueang, Mueang Ubon Ratchathani District","Ubon Ratchathani",34000
B11,"dok khamtai road branch","65 moo 4 sub-district.dok khamtai district.dok khamtai",Phayao,56120
B12,"pong road branch","285/6 moo 1 soy 2 sub-district.pong district.pong",Phayao,56140
B13,"pong road branch","40/4 moo 4 sub-district.na prang district.pong",Phayao,56140
B14,"mae chai road branch","69 moo 6 soy 9 sub-district.mae suk district.mae chai",Phayao,56130
B15,"mae chai road branch","123/4 moo 1 sub-district.ban lao district.mae chai",Phayao,56130
B16,"phu kamyao road branch","42 moo 9 sub-district.huai kaeo district.phu kamyao",Phayao,56000
B17,"phu kamyao road branch","32/6 moo 5 soy 5 sub-district.dong chen district.phu kamyao",Phayao,56000
B18,"chun road branch","99/9 moo 9 soy 9 sub-district.huai khao Kam district.chun",Phayao,56150
B19,"phu sang road branch","70/7 moo 1 sub-district.thung kluai district.phu sang",Phayao,56110
B20,"chiang muan road branch","54 moo 4 sub-district.chiang muan district.chiang muan",Phayao,56160
B21,"Maesai road branch ","301/12 moo 13 ",Chaingrai,57130
B22,"Robvein road branch ","195 moo 4",Chiangrai,57000
B23,"Rim kok road branch",400/12,Chiangrai,57000
B24,"Mae korn road branch","1211 ",Chiangrai,57000
B25,"Tha sut road branch ","427/2 ",Chiangrai,57100
B26,"Mae jun road branch ",112/5,Chiangrai,57110
B27,"Mae jun road branch","250 moo 5",Chiangrai,57110
B28,"Pa sang road branch ","327/5 moo 7",Chiangrai,57110
B29,"Mae rai road branch ","271/10 moo 2",Chiangrai,57240
B30,"Pong pha road brach ","563 moo 4 ",Chiangrai,57130
B31,"Udon Damri road branch","113 moo 7  sub-district.NAKHON THAI",Phitsanulok,65120
B32,"Highway 1295 road branch","615 moo 4  sub-district.NOEN MAPRANG",Phitsanulok,65190
B33,"Santi Bantheing-Bang Krathum road branch","8/8 moo 8  sub-district.Phai Lom",Phitsanulok,65110
B34,"Highway 1293 road branch","14 moo 5  sub-district.Khu Muang",Phitsanulok,65240
B35,"Highway 1220 road branch","56/6 moo 9  sub-district.Ban Yang ",Phitsanulok,65120
B36,"Highway 1086 road branch","13 moo 2  sub-district.Pak Thok",Phitsanulok,65000
B37,"South Bypass road branch","222 moo 6  sub-district.Wang Phikun",Phitsanulok,65130
B38,"Huay Kaew road branch","29 moo 4  sub-district.Bang Krathum",Phitsanulok,65110
B39,"Singhawat road branch","9/99 moo 5 sub-district.Phlai Chumphon",Phitsanulok,65000
B40,"Highway 1143 road branch","79 moo 2  sub-district.Pa Daeng",Phitsanulok,65170
